id_faculdade;id_curso;nome_curso
1;1;Automação Industrial
1;2;Banco de Dados
1;3;Gestão Hospitalar
1;4;Redes de Computadores
1;5;Sistemas Biomédicos
2;6;Arquitetura e Urbanismo
2;7;Artes Visuais
2;8;Design
2;9;Jornalismo
2;10;Publicidade e Propaganda
2;11;Rádio, TV e Internet
2;12;Relações Públicas
2;13;Ciências Biológicas (Bacharelado e Licenciatura)
2;14;Ciências da Computação
2;15;Ciências Matemáticas e da Terra (Licenciatura)
2;16;Física (Bacharelado e Licenciatura)
2;17;Geografia (Bacharelado e Licenciatura)
2;18;Matemática (Bacharelado e Licenciatura)
2;19;Química (Bacharelado e Licenciatura)
2;20;Engenharia Civil
2;21;Engenharia Elétrica
2;22;Engenharia de Produção
2;23;Engenharia Mecânica
3;24;Odontologia (Graduação)
3;25;Fonoaudiologia (Graduação)
3;26;Dentística (Pós-Graduação)
3;27;Endodontia (Pós-Graduação)
3;28;Estomatologia e Biologia Oral (Pós-Graduação)
3;29;Odontopediatria (Pós-Graduação)
3;30;Ortodontia (Pós-Graduação)
3;31;Reabilitação Oral (Pós-Graduação)
3;32;Patologia Bucal (Pós-Graduação)
3;33;Odontologia em Saúde Coletiva (Pós-Graduação)
