college_id;exam_id;exam_year;exam_name;exam_pdf
101;401;2024;Fatec - 1ª Sem/2024;fatec_sem1_2024.pdf
101;402;2024;Fatec - 2ª Sem/2024;fatec_sem2_2024.pdf
101;403;2023;Fatec - 1ª Sem/2023;fatec_sem1_2023.pdf
101;404;2023;Fatec - 2ª Sem/2023;fatec_sem2_2023.pdf
101;405;2019;Fatec - 1ª Sem/2019;fatec_sem1_2019.pdf
101;406;2019;Fatec - 2ª Sem/2019;fatec_sem2_2019.pdf
114;407;2023;ENEM 1ª Dia - Caderno 1 - Azul;enem_2023_d1c1.pdf
114;408;2023;ENEM 2ª Dia - Caderno 7 - Azul;enem_2023_d2c7.pdf
114;409;2022;ENEM 1ª Dia - Caderno 1 - Azul;enem_2022_d1c1.pdf
114;4010;2022;ENEM 2ª Dia - Caderno 7 - Azul;enem_2022_d2c7.pdf
102;4011;2023;Vestibular Unesp 1ª Fase;vest_unesp_f1d1_2023.pdf
102;4012;2023;Vestibular Unesp 2ª Fase;vest_unesp_f2d1_2023.pdf
102;4013;2022;Vestibular Unesp 1ª Fase - Dia 1;vest_unesp_f1d1_2022.pdf
102;4014;2022;Vestibular Unesp 1ª Fase - Dia 2;vest_unesp_f1d2_2022.pdf
102;4015;2022;Vestibular Unesp 2ª Fase;vest_unesp_f2d1_2022.pdf
103;4016;2023;FUVEST - 1ª Fase;fuvest_f1d1_V_2023.pdf
103;4017;2023;FUVEST - 2ª Fase - Dia 1;fuvest_f2d1_V_2023.pdf
103;4018;2023;FUVEST - 2ª Fase - Dia 2;fuvest_f2d2_V_2023.pdf
103;4019;2022;FUVEST - 1ª Fase;fuvest_f1d1_V_2022.pdf
103;4020;2022;FUVEST - 2ª Fase - Dia 1;fuvest_f2d1_V_2022.pdf
103;4021;2022;FUVEST - 2ª Fase - Dia 2;fuvest_f2d2_V_2022.pdf
104;4022;2023;Unicamp - 1ª Fase;unicamp_f1_2023.pdf
104;4023;2023;Unicamp - 2ª Fase - Língua Portuguesa e Redação;unicamp_f2_re_2023.pdf
104;4024;2023;Unicamp - 2ª Fase - Ciências Exatas;unicamp_f2_ce_2023.pdf
104;4025;2023;Unicamp - 2ª Fase - Ciências Biológicas;unicamp_f2_cb_2023.pdf
104;4026;2023;Unicamp - 2ª Fase - Ciências Humanas;unicamp_f2_ch_2023.pdf
105;4027;2017;UFSCar Indígena 2017;ufscar_ind_2017.pdf
106;4028;2009;Vestibular UFABC;ufabc_f1_2009
